/usr/local/Cellar/python/2.7.12/Frameworks/Python.framework/Versions/2.7/bin/python2.7 /Users/seanstappas1/PycharmProjects/qbert-reinforcement-learning/main.py
06-11-2017:19:00:58,770 INFO     [main.py:play_learning_agent:24] Plot filename: subsumption_generalization2
06-11-2017:19:00:58,771 INFO     [main.py:play_learning_agent:25] Agent type: subsumption
06-11-2017:19:00:58,771 INFO     [main.py:play_learning_agent:26] Distance metric: None
06-11-2017:19:00:58,771 INFO     [main.py:play_learning_agent:27] Exploration: None
A.L.E: Arcade Learning Environment (version 0.5.1)
[Powered by Stella]
Use -help for help screen.
Warning: couldn't load settings file: ./ale.cfg
Game console created:
  ROM file:  qbert.bin
  Cart Name: Q-bert (1988) (Atari) [!]
  Cart MD5:  484b0076816a104875e00467d431c2d2
  Display Format:  AUTO-DETECT ==> NTSC
  ROM Size:        4096
  Bankswitch Type: AUTO-DETECT ==> 4K


WARNING: Possibly unsupported ROM: mismatched MD5.
Cartridge_MD5: 484b0076816a104875e00467d431c2d2
Cartridge_name: Q-bert (1988) (Atari) [!]

Running ROM file...
Random seed is 123
06-11-2017:19:01:01,40 INFO     [main.py:play_learning_agent:44] Episode 1 ended with score: 400
06-11-2017:19:01:02,792 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:04,167 INFO     [main.py:play_learning_agent:44] Episode 2 ended with score: 925
06-11-2017:19:01:04,647 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:06,723 INFO     [main.py:play_learning_agent:44] Episode 3 ended with score: 825
06-11-2017:19:01:09,66 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:10,245 INFO     [main.py:play_learning_agent:44] Episode 4 ended with score: 950
06-11-2017:19:01:11,318 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:12,539 INFO     [main.py:play_learning_agent:44] Episode 5 ended with score: 950
06-11-2017:19:01:14,550 INFO     [main.py:play_learning_agent:44] Episode 6 ended with score: 550
06-11-2017:19:01:15,670 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:17,658 INFO     [main.py:play_learning_agent:44] Episode 7 ended with score: 975
06-11-2017:19:01:18,510 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:20,616 INFO     [main.py:play_learning_agent:44] Episode 8 ended with score: 1025
06-11-2017:19:01:21,437 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:25,349 INFO     [main.py:play_learning_agent:44] Episode 9 ended with score: 1150
06-11-2017:19:01:25,868 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:28,673 INFO     [main.py:play_learning_agent:44] Episode 10 ended with score: 1125
06-11-2017:19:01:29,88 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:33,321 INFO     [main.py:play_learning_agent:44] Episode 11 ended with score: 1100
06-11-2017:19:01:33,783 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:35,799 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:01:36,953 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:01:37,440 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:39,612 INFO     [main.py:play_learning_agent:44] Episode 12 ended with score: 8650
06-11-2017:19:01:40,62 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:41,105 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:01:43,458 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:44,245 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:45,777 INFO     [main.py:play_learning_agent:44] Episode 13 ended with score: 6225
06-11-2017:19:01:46,212 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:47,836 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:01:48,219 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:49,620 INFO     [main.py:play_learning_agent:44] Episode 14 ended with score: 5425
06-11-2017:19:01:50,112 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:51,551 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:54,780 INFO     [main.py:play_learning_agent:44] Episode 15 ended with score: 1700
06-11-2017:19:01:55,289 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:56,38 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:57,462 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:01:57,921 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:01:58,600 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:00,53 INFO     [main.py:play_learning_agent:44] Episode 16 ended with score: 6050
06-11-2017:19:02:00,483 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:01,124 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:02,804 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:02:03,216 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:04,346 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:05,619 INFO     [main.py:play_learning_agent:44] Episode 17 ended with score: 6475
06-11-2017:19:02:06,124 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:06,881 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:07,847 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:02:08,752 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:09,448 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:12,26 INFO     [main.py:play_learning_agent:44] Episode 18 ended with score: 6575
06-11-2017:19:02:12,456 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:13,112 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:16,198 INFO     [main.py:play_learning_agent:44] Episode 19 ended with score: 1500
06-11-2017:19:02:16,645 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:17,331 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:20,548 INFO     [main.py:play_learning_agent:44] Episode 20 ended with score: 1525
06-11-2017:19:02:21,121 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:21,874 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:24,66 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:02:24,705 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:26,268 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:28,362 INFO     [main.py:play_learning_agent:44] Episode 21 ended with score: 6250
06-11-2017:19:02:28,817 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:29,523 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:31,173 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:02:32,28 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:02:32,367 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:32,908 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:35,232 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:02:36,126 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:37,640 INFO     [main.py:play_learning_agent:44] Episode 22 ended with score: 14175
06-11-2017:19:02:38,200 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:38,949 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:42,359 INFO     [main.py:play_learning_agent:44] Episode 23 ended with score: 1500
06-11-2017:19:02:42,867 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:43,528 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:44,185 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:02:44,575 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:47,579 INFO     [main.py:play_learning_agent:44] Episode 24 ended with score: 6350
06-11-2017:19:02:48,174 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:48,883 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:50,268 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:02:50,930 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:52,95 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:52,794 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:02:53,426 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:54,309 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:54,564 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:02:55,387 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:57,389 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:02:58,17 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:02:59,999 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:00,804 INFO     [main.py:play_learning_agent:44] Episode 25 ended with score: 20000
06-11-2017:19:03:01,259 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:01,798 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:03,585 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:03:04,232 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:06,216 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:03:06,732 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:07,489 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:08,515 INFO     [main.py:play_learning_agent:44] Episode 26 ended with score: 10825
06-11-2017:19:03:09,39 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:09,764 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:09,936 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:03:11,71 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:12,976 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:03:14,220 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:15,406 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:03:16,163 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:17,294 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:20,412 INFO     [main.py:play_learning_agent:44] Episode 27 ended with score: 15500
06-11-2017:19:03:20,842 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:23,578 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:03:24,220 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:24,803 INFO     [main.py:play_learning_agent:44] Episode 28 ended with score: 5300
06-11-2017:19:03:25,235 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:26,1 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:26,759 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:03:27,399 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:28,918 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:03:30,174 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:03:30,966 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:31,263 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:32,506 INFO     [world.py:perform_action:668] Level won! Progressing to level 5
06-11-2017:19:03:32,834 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:33,463 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:34,870 INFO     [main.py:play_learning_agent:44] Episode 29 ended with score: 19125
06-11-2017:19:03:35,350 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:35,769 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:37,96 INFO     [world.py:perform_action:668] Level won! Progressing to level 2
06-11-2017:19:03:37,749 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:38,391 INFO     [world.py:perform_action:668] Level won! Progressing to level 3
06-11-2017:19:03:39,254 INFO     [world.py:perform_action:647] Killed Coily!
06-11-2017:19:03:40,426 INFO     [world.py:perform_action:668] Level won! Progressing to level 4
06-11-2017:19:03:41,269 INFO     [world.py:perform_action:647] Killed Coily!
